Date,Open,High,Low,Close,Adj Close,Volume
1963-06-20,5.825366,5.825366,5.739324,5.796686,1.252338,1239510
1963-06-21,5.799873,5.822180,5.799873,5.806246,1.254403,572685
1963-06-24,5.806246,5.828553,5.723391,5.723391,1.236502,815880
1963-06-25,5.723391,5.793499,5.685150,5.694710,1.230306,706050
1963-06-26,5.694710,5.697897,5.592734,5.592734,1.208276,1302270
1963-06-27,5.592734,5.637349,5.506692,5.535373,1.195883,1427790
1963-06-28,5.551307,5.586361,5.551307,5.560867,1.201391,682515
1963-07-01,5.560867,5.560867,5.430210,5.436584,1.174540,1561155
1963-07-02,5.462078,5.589547,5.462078,5.589547,1.207587,1223820
1963-07-03,5.599108,5.646909,5.599108,5.630975,1.216537,1074765
1963-07-05,5.637349,5.672403,5.637349,5.672403,1.225487,470700
1963-07-08,5.659656,5.659656,5.551307,5.557680,1.200702,627600
1963-07-09,5.557680,5.650096,5.535373,5.619822,1.214128,682515
1963-07-10,5.608668,5.608668,5.548120,5.570427,1.203457,674670
1963-07-11,5.570427,5.608668,5.532186,5.532186,1.195194,643290
1963-07-12,5.532186,5.564054,5.500319,5.500319,1.188310,596220
1963-07-15,5.500319,5.532186,5.470045,5.513066,1.191064,847260
1963-07-16,5.513066,5.554493,5.509879,5.548120,1.198636,831570
1963-07-17,5.548120,5.602294,5.503505,5.519439,1.192440,847260
1963-07-18,5.519439,5.541746,5.474825,5.474825,1.182801,949245
1963-07-19,5.474825,5.487572,5.455704,5.471638,1.182113,745275
1963-07-22,5.471638,5.487572,5.436584,5.455704,1.178671,627600
